,movie,year,imdb
583,Save the Last Dance,(2001),6.2
584,The Animal,(2001),4.8
585,Cats & Dogs,(2001),5.1
586,America's Sweethearts,(2001),5.7
587,Original Sin,(2001),6.0
588,The Majestic,(2001),6.9
589,Session 9,(2001),6.5
590,How High,(2001),6.3
591,The Pledge,(I) (2001),6.8
592,Wet Hot American Summer,(2001),6.7
593,The Piano Teacher,(2001),7.5
594,Heartbreakers,(2001),6.2
595,Ichi the Killer,(2001),7.1
596,Ghosts of Mars,(2001),4.9
597,Joe Dirt,(2001),5.9
598,15 Minutes,(2001),6.1
599,Formula 51,(2001),6.3
600,Jason X,(2001),4.4
601,Don't Say a Word,(2001),6.3
602,Freddy Got Fingered,(2001),4.5
603,The Hole,(2001),6.2
604,My Sassy Girl,(2001),8.1
605,Alias,(2001–2006),7.6
606,Ingenmandsland,(I) (2001),8.0
607,Life as a House,(2001),7.5
608,3000 Miles to Graceland,(2001),5.9
609,Kabhi Khushi Kabhie Gham...,(2001),7.5
610,Dr. Dolittle 2,(2001),4.7
611,Samurai Jack,(2001–2017),8.4
612,Star Trek: Enterprise,(2001–2005),7.5
613,Rock Star,(2001),6.2
614,Cowboy Bebop: The Movie,(2001),7.9
615,Driven,(2001),4.6
616,Robot Chicken,(2001– ),7.8
617,Saving Silverman,(2001),5.9
618,The Curse of the Jade Scorpion,(2001),6.8
619,Justice League,(2001–2004),8.6
620,In the Bedroom,(2001),7.4
621,Black Knight,(2001),4.8
622,The Believer,(2001),7.2
623,Wasabi,(2001),6.7
624,Hearts in Atlantis,(2001),6.9
625,Mean Machine,(2001),6.5
626,Sex and Lucía,(2001),7.2
627,Bully,(2001),7.0
628,Trailer Park Boys,(2001–2018),8.4
629,According to Jim,(2001–2009),6.4
630,Captain Corelli's Mandolin,(2001),5.9
631,Kuppet,(2001),6.5
632,The Shipping News,(2001),6.8
633,Exit Wounds,(2001),5.5
634,Osmosis Jones,(2001),6.3
635,Hedwig and the Angry Inch,(2001),7.8
636,The Glass House,(2001),5.8
637,Bubble Boy,(2001),5.6
638,The Fairly OddParents,(2001–2017),7.2
639,Jimmy Neutron: Boy Genius,(2001),6.0
640,Vizontele,(2001),8.0
641,One Night at McCool's,(2001),6.1
642,Antitrust,(2001),6.1
643,The Tailor of Panama,(2001),6.2
644,Hardball,(2001),6.4
645,The Blue Planet,(2001),8.9
646,Riding in Cars with Boys,(2001),6.5
647,My Wife and Kids,(2001–2005),6.8
648,Birthday Girl,(2001),6.1
649,Domestic Disturbance,(2001),5.6
650,Crazy/Beautiful,(2001),6.5
651,Valentine,(2001),4.8
652,Buffalo Soldiers,(2001),6.8
653,Someone Like You...,(2001),6.1
654,Crocodile Dundee i Los Angeles,(2001),4.8
655,Monsoon Wedding,(2001),7.4
656,Impostor,(2001),6.2
657,Knockaround Guys,(2001),6.1
658,Angel Eyes,(2001),5.6
659,Glitter,(2001),2.2
660,Law & Order: Criminal Intent,(2001–2011),7.4
661,Down to Earth,(2001),5.4
662,Josie and the Pussycats,(2001),5.4
663,Vidocq,(2001),6.5
664,Enigma,(2001),6.4
665,Millennium Actress,(2001),7.9
666,Lost and Delirious,(2001),7.0
667,Metropolis,(2001),7.3
668,O,(2001),6.1
669,Lantana,(2001),7.3
670,Invader ZIM,(2001–2004),8.3
671,Tape,(2001),7.3
672,The Grim Adventures of Billy & Mandy,(2001–2007),7.7
673,Suicide Club,(2001),6.6
674,Just Visiting,(2001),5.8
675,Get Over It,(2001),5.8
